# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1400
#@/user_id	iarch
gong an 	公安	c=1 d=0.0122161 t=1400
gong bei 	拱北	c=1 d=0.0244775 t=1400
gong jiao 	公交	c=2 d=0.0678096 t=1400
gong ju 	工具	c=1 d=0.810584 t=1400
gong lu 	公路	c=2 d=0.0312167 t=1400
gong neng 	功能	c=1 d=0.00208081 t=1400
gong tong 	共通	c=0 d=0.00911725 t=1400
gong tong dian 	共通点	c=1 d=0.09163 t=1400
gong zuo 	工作	c=1 d=0.00900477 t=1400
gou jian 	构建	c=1 d=0.181772 t=1400
gou mai 	购买	c=1 d=0.00798652 t=1400
gou tong 	沟通	c=1 d=0.404542 t=1400
gu shi 	故事	c=2 d=0.135608 t=1400
guan 	官	c=1 d=0.201896 t=1400
guan chang 	官场	c=1 d=0.151072 t=1400
guan fang 	官方	c=2 d=0.398878 t=1400
guang biao 	光标	c=1 d=0.946485 t=1400
guang huan 	广欢	c=1 d=0.0148464 t=1400
guang zhou 	广州	c=1 d=0.0265162 t=1400
gui yi 	诡异	c=1 d=0.125556 t=1400
guo 	过	c=2 d=0.227511 t=1400
guo cheng 	过程	c=1 d=0.00414853 t=1400
guo ku 	国库	c=1 d=0.141565 t=1400
guo qu 	过去	c=0 d=0.00211736 t=1400
guo wang 	过往	c=2 d=0.0805316 t=1400
guo yu 	过于	c=1 d=0.771051 t=1400
ha ha 	哈哈	c=1 d=0.00172074 t=1400
hai 	海	c=2 d=0.00880474 t=1400
hai shi 	还是	c=2 d=0.05769 t=1400
hai xiang 	还想	c=1 d=0.112477 t=1400
hai zi 	孩子	c=1 d=0.0121552 t=1400
hao 	号	c=1 d=0.0126512 t=1400
hao 	好	c=7 d=1.70062 t=1400
hao kan 	好看	c=1 d=0.543351 t=1400
hao xiang 	好想	c=0 d=0.000425355 t=1400
hao xiang fa 	好想法	c=1 d=0.00427487 t=1400
hao yong 	好用	c=1 d=0.00199922 t=1400
hao you 	蚝油	c=1 d=0.0112207 t=1400
he 	和	c=2 d=0.0662625 t=1400
he 	鹤	c=3 d=0.0672322 t=1400
he shi 	合适	c=0 d=0.00181334 t=1400
hong qi 	红旗	c=1 d=0.0294518 t=1400
hong se 	红色	c=2 d=0.0783339 t=1400
hou 	后	c=7 d=1.48085 t=1400
hou mian 	后面	c=1 d=0.232236 t=1400
hou tou 	后头	c=1 d=0.174645 t=1400
hou xuan 	候选	c=1 d=0.00177314 t=1400
hou zhe 	后者	c=1 d=0.00332928 t=1400
hu xin 	湖心	c=3 d=0.710128 t=1400
hu xin lu 	湖心路	c=3 d=0.107303 t=1400
hua 	花	c=3 d=0.0467514 t=1400
hua qian 	花钱	c=1 d=0.00191125 t=1400
huan 	换	c=4 d=0.0818756 t=1400
huan jie 	缓解	c=1 d=0.0372538 t=1400
huang ce 	黄册	c=2 d=0.144898 t=1400
huang di 	皇帝	c=1 d=0.133321 t=1400
hui 	会	c=3 d=0.713966 t=1400
hui 	回	c=1 d=0.0407622 t=1400
hui jia 	回家	c=2 d=0.0245697 t=1400
hui tou 	回头	c=1 d=0.242925 t=1400
hui xiang 	回乡	c=1 d=0.408607 t=1400
hui you 	会有	c=1 d=0.280832 t=1400
huo 	或	c=1 d=0.527292 t=1400
huo qu 	获取	c=1 d=0.00673795 t=1400
ji hu 	几乎	c=1 d=0.064894 t=1400
ji jie 	集结	c=1 d=0.00477195 t=1400
ji ke 	即可	c=1 d=0.00271219 t=1400
ji lei 	积累	c=1 d=0.00465413 t=1400
ji qiao 	技巧	c=1 d=0.00331267 t=1400
ji shu 	技术	c=1 d=0.00316691 t=1400
ji tian 	几天	c=1 d=0.0131019 t=1400
ji xia 	记下	c=1 d=0.231078 t=1400
ji xu 	继续	c=1 d=0.227638 t=1400
jia jing 	嘉靖	c=1 d=0.123071 t=1400
jia shang 	加上	c=1 d=0.0742736 t=1400
jia zai 	加载	c=1 d=0.00128757 t=1400
jian cha 	检查	c=1 d=0.00719046 t=1400
jian chi 	坚持	c=3 d=0.742357 t=1400
jian pan 	键盘	c=1 d=0.88692 t=1400
jian shu 	荐书	c=1 d=0.576949 t=1400
jian wei zhi zhu 	见微知著	c=1 d=0.0907183 t=1400
jiang 	将	c=3 d=0.355136 t=1400
jiang zi 	酱紫	c=1 d=0.00211225 t=1400
