# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	33981
#@/user_id	iarch
bei gan guang rong 	倍感光榮	c=1 d=5.38494e-13 t=33981
bei gan ya yi 	倍感訝異	c=1 d=7.62446e-16 t=33981
bei hai zhe 	被害者	c=1 d=1.85697e-17 t=33981
bei hou 	背後	c=5 d=9.36085e-18 t=33981
bei ju jue 	被拒絕	c=1 d=1.86051e-10 t=33981
bei jue ding 	被決定	c=1 d=3.19092e-33 t=33981
bei kong ming ling 	被空命令	c=1 d=1.50831e-41 t=33981
bei kou fen 	被扣分	c=1 d=3.78028e-27 t=33981
bei liang ren 	被兩人	c=1 d=6.66161e-16 t=33981
bei liu xia 	被留下	c=4 d=3.85206e-13 t=33981
bei mian 	杯麪	c=1 d=3.69259e-45 t=33981
bei ming 	悲鳴	c=12 d=0.126818 t=33981
bei mo qu 	被抹去	c=1 d=2.40002e-35 t=33981
bei nie zao 	被捏造	c=2 d=5.71298e-14 t=33981
bei pai chu zai 	被排除在	c=1 d=2.39921e-31 t=33981
bei pan 	背叛	c=1 d=1.02601e-08 t=33981
bei pan 	被判	c=2 d=1.0209e-08 t=33981
bei pan zhe 	背叛者	c=1 d=2.0315e-15 t=33981
bei pian 	被騙	c=2 d=2.25641e-15 t=33981
bei po 	被迫	c=1 d=5.70316e-12 t=33981
bei qiang po 	被強迫	c=1 d=2.94308e-23 t=33981
bei qiang zhi 	被強制	c=2 d=3.91359e-23 t=33981
bei qie duan 	被切斷	c=2 d=5.31759e-12 t=33981
bei ren 	被人	c=1 d=5.99965e-20 t=33981
bei ren qun 	被人羣	c=1 d=3.74916e-18 t=33981
bei ren wei 	被認爲	c=1 d=7.98788e-05 t=33981
bei sha 	被殺	c=1 d=2.97114e-17 t=33981
bei shang 	悲傷	c=1 d=9.9437e-46 t=33981
bei she zhi 	被設置	c=1 d=3.0532e-14 t=33981
bei tan 	悲嘆	c=1 d=6.62839e-16 t=33981
bei ti wen 	被提問	c=1 d=5.57372e-36 t=33981
bei tong 	悲痛	c=2 d=8.15479e-13 t=33981
bei wu shi 	被無視	c=1 d=2.42043e-17 t=33981
bei xiao chu 	被消除	c=1 d=3.02375e-47 t=33981
bei xiao hao 	被消耗	c=1 d=5.0139e-26 t=33981
bei xiao qu 	被消去	c=1 d=8.1111e-38 t=33981
bei yan mo 	被淹沒	c=1 d=7.46308e-29 t=33981
bei ying 	背影	c=2 d=7.76369e-23 t=33981
bei yun xu 	被允許	c=2 d=1.27115e-19 t=33981
bei zhi ru 	被植入	c=1 d=9.23087e-30 t=33981
bei zhuang 	悲壯	c=1 d=5.05379e-31 t=33981
bei zi 	被子	c=2 d=8.66953e-10 t=33981
bei zi zhong 	被子中	c=1 d=4.54154e-09 t=33981
ben 	本	c=5 d=0.000608204 t=33981
ben ci 	本次	c=1 d=5.41285e-15 t=33981
ben da suan 	本打算	c=2 d=1.50211e-22 t=33981
ben dan 	笨蛋	c=1 d=3.31662e-17 t=33981
ben gai 	本該	c=3 d=1.20817e-08 t=33981
ben gai shi 	本該是	c=1 d=2.03954e-32 t=33981
ben ji 	本機	c=26 d=4.11895e-20 t=33981
ben lai 	本來	c=26 d=0.014622 t=33981
ben lai kuai jie feng 	本來塊解封	c=1 d=3.47885e-20 t=33981
ben lai ye shi 	本來也是	c=1 d=1.24134e-14 t=33981
ben pian 	本篇	c=1 d=3.97964e-14 t=33981
ben ren 	本人	c=4 d=0.0042756 t=33981
ben shen 	本身	c=5 d=3.88996e-12 t=33981
ben xin 	本心	c=1 d=3.87136e-13 t=33981
ben yi wei 	本以爲	c=3 d=9.82695e-42 t=33981
